t,pos_err_mm,yaw_err_deg
0.029000,1.190873,0.000613
0.030000,1.226060,0.000615
0.031000,1.261247,0.000618
0.032000,1.296435,0.000620
0.033000,1.331622,0.000623
0.034000,1.366809,0.000625
0.035000,1.401997,0.000628
0.036000,1.437184,0.000630
0.037000,1.472371,0.000633
0.038000,1.507558,0.000635
0.039000,1.542746,0.000637
0.040000,1.577933,0.000640
0.041000,1.613120,0.000642
0.042000,1.648307,0.000645
0.043000,1.683494,0.000648
0.044000,1.718682,0.000650
0.045000,1.753869,0.000652
0.046000,1.789056,0.000655
0.047000,1.824243,0.000657
0.048000,1.859430,0.000660
0.049000,1.894617,0.000662
0.050000,1.929805,0.000665
0.051000,1.964992,0.000667
0.052000,2.000179,0.000670
0.053000,2.035366,0.000673
0.054000,2.070553,0.000675
0.055000,2.105740,0.000678
0.056000,2.140927,0.000680
0.057000,2.176115,0.000683
0.058000,2.211302,0.000685
0.059000,2.246489,0.000687
0.059000,6.201833,0.000829
0.060000,6.301424,0.000832
0.061000,6.401016,0.000835
0.062000,6.500607,0.000838
0.063000,6.600199,0.000841
0.064000,6.699790,0.000844
0.065000,6.799382,0.000846
0.066000,6.898974,0.000849
0.067000,6.998565,0.000852
0.068000,7.098157,0.000855
0.069000,7.197749,0.000858
0.070000,7.297340,0.000861
0.071000,7.396932,0.000864
0.072000,7.496524,0.000866
0.073000,7.596116,0.000869
0.074000,7.695708,0.000872
0.075000,7.795300,0.000875
0.076000,7.894891,0.000878
0.077000,7.994483,0.000881
0.078000,8.094075,0.000884
0.079000,8.193667,0.000887
0.080000,8.293259,0.000889
0.081000,8.392852,0.000892
0.082000,8.492444,0.000895
0.083000,8.592036,0.000897
0.084000,8.691628,0.000900
0.084000,6.090378,0.001428
0.085000,6.159183,0.001433
0.086000,6.227988,0.001437
0.087000,6.296793,0.001442
0.088000,6.365598,0.001447
0.089000,6.434403,0.001452
0.090000,6.503208,0.001457
0.091000,6.572013,0.001462
0.092000,6.640818,0.001467
0.093000,6.709623,0.001472
0.094000,6.778429,0.001477
0.095000,6.847234,0.001482
0.096000,6.916039,0.001488
0.097000,6.984844,0.001493
0.098000,7.053649,0.001499
0.099000,7.122455,0.001504
0.100000,7.191260,0.001510
0.101000,7.260065,0.001516
0.102000,7.328871,0.001521
0.103000,7.397676,0.001527
0.104000,7.466482,0.001533
0.105000,7.535287,0.001538
0.106000,7.604093,0.001544
0.107000,7.672898,0.001550
0.107000,6.969062,0.002760
0.108000,7.031224,0.002771
0.109000,7.093386,0.002783
0.110000,7.155549,0.002794
0.111000,7.217711,0.002806
0.112000,7.279874,0.002817
0.113000,7.342036,0.002829
0.114000,7.404199,0.002841
0.115000,7.466361,0.002853
0.116000,7.528524,0.002864
0.117000,7.590686,0.002876
0.118000,7.652849,0.002888
0.119000,7.715012,0.002900
0.120000,7.777174,0.002911
0.121000,7.839337,0.002923
0.122000,7.901500,0.002935
0.123000,7.963662,0.002947
0.124000,8.025825,0.002959
0.125000,8.087988,0.002970
0.126000,8.150151,0.002982
0.127000,8.212314,0.002994
0.128000,8.274477,0.003006
0.129000,8.336640,0.003017
0.130000,8.398803,0.003029
0.131000,8.460966,0.003041
0.132000,8.523129,0.003052
0.133000,8.585292,0.003064
0.134000,8.647455,0.003076
0.135000,8.709618,0.003087
0.136000,8.771781,0.003099
0.137000,8.833944,0.003111
0.138000,8.896107,0.003122
0.138000,6.323414,0.003127
0.139000,6.366481,0.003139
0.140000,6.409548,0.003151
0.141000,6.452615,0.003162
0.142000,6.495682,0.003174
0.143000,6.538749,0.003186
0.144000,6.581816,0.003197
0.145000,6.624883,0.003209
0.146000,6.667950,0.003221
0.147000,6.711017,0.003232
0.148000,6.754083,0.003244
0.149000,6.797150,0.003256
0.150000,6.840217,0.003268
0.151000,6.883283,0.003279
0.152000,6.926350,0.003291
0.153000,6.969417,0.003303
0.154000,7.012483,0.003314
0.155000,7.055550,0.003326
0.156000,7.098617,0.003338
0.157000,7.141683,0.003350
0.158000,7.184750,0.003362
0.159000,7.227816,0.003373
0.160000,7.270883,0.003385
0.160000,5.854452,0.003803
0.161000,5.888377,0.003816
0.162000,5.922303,0.003830
0.163000,5.956229,0.003843
0.164000,5.990154,0.003857
0.165000,6.024080,0.003870
0.166000,6.058005,0.003883
0.167000,6.091930,0.003896
0.168000,6.125856,0.003909
0.169000,6.159781,0.003922
0.170000,6.193706,0.003935
0.171000,6.227632,0.003948
0.172000,6.261557,0.003962
0.173000,6.295482,0.003975
0.174000,6.329407,0.003988
0.175000,6.363332,0.004001
0.176000,6.397256,0.004014
0.177000,6.431181,0.004027
0.178000,6.465106,0.004040
