t,pos_err_mm,yaw_err_deg
0.026000,0.007465,0.000432
0.027000,0.007667,0.000426
0.028000,0.007869,0.000420
0.029000,0.008076,0.000456
0.030000,0.008288,0.000501
0.031000,0.008507,0.000557
0.032000,0.008731,0.000589
0.033000,0.008959,0.000616
0.034000,0.009187,0.000641
0.035000,0.009416,0.000665
0.036000,0.009649,0.000682
0.037000,0.009889,0.000699
0.038000,0.010137,0.000697
0.039000,0.010393,0.000686
0.040000,0.010663,0.000676
0.041000,0.010945,0.000666
0.042000,0.011242,0.000658
0.043000,0.011545,0.000638
0.044000,0.011850,0.000657
0.045000,0.012154,0.000667
0.046000,0.012457,0.000704
0.047000,0.012758,0.000731
0.048000,0.013056,0.000765
0.049000,0.013350,0.000798
0.050000,0.013639,0.000829
0.051000,0.013923,0.000855
0.052000,0.014202,0.000888
0.052000,0.433278,0.001055
0.053000,0.441186,0.001117
0.054000,0.449093,0.001193
0.055000,0.457000,0.001257
0.056000,0.464902,0.001302
0.057000,0.472797,0.001357
0.058000,0.480685,0.001395
0.059000,0.488567,0.001443
0.060000,0.496445,0.001472
0.061000,0.504316,0.001502
0.062000,0.512185,0.001537
0.063000,0.520054,0.001570
0.064000,0.527927,0.001575
0.065000,0.535807,0.001591
0.066000,0.543693,0.001609
0.067000,0.551581,0.001615
0.068000,0.559472,0.001615
0.069000,0.567367,0.001607
0.070000,0.575261,0.001601
0.071000,0.583157,0.001601
0.072000,0.591055,0.001597
0.073000,0.598957,0.001563
0.074000,0.606861,0.001519
0.075000,0.614767,0.001480
0.076000,0.622682,0.001452
0.077000,0.630606,0.001427
0.078000,0.638539,0.001399
0.079000,0.646481,0.001388
0.079000,0.416366,0.001045
0.080000,0.421518,0.001043
0.081000,0.426678,0.001080
0.082000,0.431844,0.001106
0.083000,0.437011,0.001121
0.084000,0.442182,0.001131
0.085000,0.447357,0.001128
0.086000,0.452535,0.001122
0.087000,0.457719,0.001141
0.088000,0.462908,0.001139
0.089000,0.468103,0.001127
0.090000,0.473303,0.001095
0.091000,0.478503,0.001066
0.092000,0.483698,0.001035
0.093000,0.488890,0.001018
0.094000,0.494080,0.000993
0.095000,0.499272,0.000961
0.096000,0.504467,0.000948
0.097000,0.509667,0.000951
0.098000,0.514876,0.000970
0.099000,0.520090,0.000968
0.100000,0.525305,0.000983
0.101000,0.530520,0.001013
0.102000,0.535736,0.001045
0.103000,0.540953,0.001074
0.104000,0.546171,0.001129
0.104000,0.540941,0.001506
0.105000,0.546078,0.001568
0.106000,0.551211,0.001614
0.107000,0.556342,0.001619
0.108000,0.561480,0.001620
0.109000,0.566620,0.001656
0.110000,0.571758,0.001676
0.111000,0.576891,0.001697
0.112000,0.582021,0.001703
0.113000,0.587151,0.001699
0.114000,0.592278,0.001702
0.115000,0.597397,0.001685
0.116000,0.602506,0.001658
0.117000,0.607603,0.001604
0.118000,0.612689,0.001559
0.119000,0.617767,0.001514
0.120000,0.622837,0.001482
0.121000,0.627899,0.001461
0.122000,0.632956,0.001452
0.123000,0.638010,0.001436
0.124000,0.643063,0.001402
0.125000,0.648118,0.001361
0.126000,0.653176,0.001307
0.127000,0.658238,0.001253
0.128000,0.663302,0.001190
0.129000,0.668365,0.001122
0.129000,0.201938,0.000546
0.130000,0.203425,0.000481
0.131000,0.204917,0.000410
0.132000,0.206411,0.000360
0.133000,0.207906,0.000327
0.134000,0.209397,0.000283
0.135000,0.210882,0.000235
0.136000,0.212361,0.000172
0.137000,0.213839,0.000100
0.138000,0.215318,0.000021
0.139000,0.216801,0.000049
0.140000,0.218292,0.000092
0.141000,0.219792,0.000138
0.142000,0.221300,0.000175
0.143000,0.222815,0.000198
0.144000,0.224339,0.000213
0.145000,0.225872,0.000234
0.146000,0.227411,0.000252
0.147000,0.228952,0.000260
0.148000,0.230490,0.000274
0.149000,0.232020,0.000283
0.150000,0.233544,0.000286
0.151000,0.235063,0.000292
0.152000,0.236578,0.000286
0.153000,0.238091,0.000284
0.153000,0.188591,0.000071
0.154000,0.189761,0.000070
0.155000,0.190940,0.000059
0.156000,0.192124,0.000081
0.157000,0.193310,0.000074
0.158000,0.194500,0.000073
0.159000,0.195696,0.000060
0.160000,0.196904,0.000046
0.161000,0.198125,0.000023
0.162000,0.199356,0.000009
0.163000,0.200596,0.000012
0.164000,0.201845,0.000022
0.165000,0.203101,0.000026
0.166000,0.204363,0.000009
0.167000,0.205626,0.000015
0.168000,0.206892,0.000029
0.169000,0.208158,0.000057
0.170000,0.209422,0.000096
0.171000,0.210683,0.000122
0.172000,0.211942,0.000158
0.173000,0.213196,0.000186
0.174000,0.214445,0.000223
0.175000,0.215691,0.000267
0.176000,0.216934,0.000314
0.177000,0.218177,0.000359
0.178000,0.219423,0.000403
0.179000,0.220677,0.000424
0.179000,0.116522,0.000510
0.180000,0.117208,0.000528
0.181000,0.117896,0.000550
0.182000,0.118587,0.000567
0.183000,0.119278,0.000566
0.184000,0.119966,0.000600
0.185000,0.120649,0.000649
0.186000,0.121324,0.000694
0.187000,0.121989,0.000753
0.188000,0.122642,0.000793
0.189000,0.123284,0.000840
0.190000,0.123916,0.000895
0.191000,0.124544,0.000948
0.192000,0.125170,0.000998
0.193000,0.125794,0.001050
0.194000,0.126418,0.001105
0.195000,0.127040,0.001150
0.196000,0.127663,0.001187
0.197000,0.128288,0.001224
0.198000,0.128917,0.001244
0.199000,0.129549,0.001242
0.200000,0.130181,0.001260
0.201000,0.130810,0.001272
0.202000,0.131434,0.001280
0.203000,0.132060,0.001293
0.203000,0.115576,0.001475
0.204000,0.116134,0.001505
0.205000,0.116694,0.001524
0.206000,0.117259,0.001564
0.207000,0.117828,0.001594
0.208000,0.118403,0.001634
0.209000,0.118985,0.001699
0.210000,0.119573,0.001736
0.211000,0.120169,0.001805
0.212000,0.120769,0.001852
0.213000,0.121372,0.001886
0.214000,0.121978,0.001910
0.215000,0.122582,0.001961
0.216000,0.123184,0.002018
0.217000,0.123785,0.002071
0.218000,0.124385,0.002113
0.219000,0.124991,0.002110
0.220000,0.125603,0.002142
0.221000,0.126223,0.002168
0.222000,0.126855,0.002198
0.223000,0.127497,0.002228
0.224000,0.128150,0.002244
0.225000,0.128812,0.002226
0.226000,0.129482,0.002197
0.227000,0.130162,0.002146
0.228000,0.130849,0.002119
0.228000,0.340569,0.001529
0.229000,0.342046,0.001495
0.230000,0.343528,0.001460
0.231000,0.345011,0.001440
0.232000,0.346498,0.001423
0.233000,0.347989,0.001401
0.234000,0.349485,0.001379
0.235000,0.350982,0.001347
0.236000,0.352480,0.001348
0.237000,0.353977,0.001321
0.238000,0.355473,0.001291
0.239000,0.356967,0.001259
0.240000,0.358462,0.001203
0.241000,0.359962,0.001156
0.242000,0.361466,0.001095
0.243000,0.362975,0.001058
0.244000,0.364492,0.001047
0.245000,0.366017,0.001031
0.246000,0.367547,0.001009
0.247000,0.369079,0.001006
0.248000,0.370613,0.001024
0.249000,0.372146,0.001032
0.250000,0.373681,0.001037
0.251000,0.375218,0.001046
0.252000,0.376755,0.001057
0.253000,0.378290,0.001037
0.253000,0.612774,0.001481
0.254000,0.615566,0.001514
0.255000,0.618353,0.001531
0.256000,0.621130,0.001544
0.257000,0.623900,0.001558
0.258000,0.626663,0.001567
0.259000,0.629422,0.001570
0.260000,0.632179,0.001585
0.261000,0.634932,0.001585
0.262000,0.637683,0.001556
0.263000,0.640433,0.001529
0.264000,0.643180,0.001506
0.265000,0.645926,0.001484
0.266000,0.648670,0.001449
0.267000,0.651416,0.001430
0.268000,0.654161,0.001415
0.269000,0.656902,0.001408
0.270000,0.659639,0.001414
0.271000,0.662374,0.001412
0.272000,0.665105,0.001410
0.273000,0.667833,0.001389
0.274000,0.670556,0.001365
0.275000,0.673273,0.001358
0.276000,0.675983,0.001371
0.277000,0.678689,0.001381
0.278000,0.681395,0.001382
0.279000,0.684105,0.001390
0.279000,0.414841,0.000759
0.280000,0.416412,0.000758
0.281000,0.417987,0.000766
0.282000,0.419566,0.000784
0.283000,0.421152,0.000790
0.284000,0.422746,0.000793
0.285000,0.424350,0.000794
0.286000,0.425964,0.000771
0.287000,0.427587,0.000755
0.288000,0.429221,0.000754
0.289000,0.430867,0.000759
0.290000,0.432523,0.000775
0.291000,0.434189,0.000786
0.292000,0.435864,0.000793
0.293000,0.437549,0.000798
0.294000,0.439240,0.000798
0.295000,0.440937,0.000780
0.296000,0.442642,0.000779
0.297000,0.444355,0.000797
0.298000,0.446074,0.000798
0.299000,0.447800,0.000802
0.300000,0.449531,0.000805
0.301000,0.451270,0.000797
0.302000,0.453021,0.000787
0.303000,0.454783,0.000756
0.303000,0.383742,0.000045
0.304000,0.385462,0.000059
0.305000,0.387195,0.000072
0.306000,0.388944,0.000083
0.307000,0.390711,0.000072
0.308000,0.392491,0.000062
0.309000,0.394282,0.000065
0.310000,0.396082,0.000070
0.311000,0.397887,0.000072
0.312000,0.399695,0.000080
0.313000,0.401503,0.000061
0.314000,0.403308,0.000066
0.315000,0.405107,0.000083
0.316000,0.406899,0.000102
0.317000,0.408679,0.000135
0.318000,0.410445,0.000157
0.319000,0.412198,0.000182
0.320000,0.413939,0.000220
0.321000,0.415668,0.000243
0.322000,0.417388,0.000263
0.323000,0.419099,0.000285
0.324000,0.420799,0.000302
0.325000,0.422484,0.000313
0.326000,0.424154,0.000336
0.327000,0.425813,0.000352
0.328000,0.427459,0.000374
0.328000,0.316332,0.000246
0.329000,0.317465,0.000261
0.330000,0.318586,0.000279
0.331000,0.319698,0.000307
0.332000,0.320803,0.000318
0.333000,0.321906,0.000312
0.334000,0.323007,0.000332
0.335000,0.324108,0.000358
0.336000,0.325211,0.000381
0.337000,0.326320,0.000386
0.338000,0.327436,0.000403
0.339000,0.328561,0.000414
0.340000,0.329692,0.000436
0.341000,0.330827,0.000433
0.342000,0.331962,0.000454
0.343000,0.333098,0.000469
0.344000,0.334235,0.000485
0.345000,0.335371,0.000485
0.346000,0.336508,0.000503
0.347000,0.337644,0.000522
0.348000,0.338780,0.000535
0.349000,0.339918,0.000567
0.350000,0.341056,0.000586
0.351000,0.342191,0.000593
0.352000,0.343322,0.000561
0.353000,0.344451,0.000536
0.353000,0.368678,0.000274
0.354000,0.369797,0.000302
0.355000,0.370918,0.000316
0.356000,0.372043,0.000334
0.357000,0.373175,0.000333
0.358000,0.374313,0.000319
0.359000,0.375461,0.000312
0.360000,0.376618,0.000320
0.361000,0.377781,0.000339
0.362000,0.378949,0.000390
0.363000,0.380121,0.000458
0.364000,0.381299,0.000495
0.365000,0.382483,0.000529
0.366000,0.383678,0.000545
0.367000,0.384884,0.000530
0.368000,0.386102,0.000508
0.369000,0.387333,0.000495
0.370000,0.388579,0.000455
0.371000,0.389840,0.000413
0.372000,0.391118,0.000394
0.373000,0.392417,0.000406
0.374000,0.393736,0.000431
0.375000,0.395069,0.000462
0.376000,0.396415,0.000499
0.377000,0.397771,0.000537
0.378000,0.399130,0.000579
0.378000,0.340173,0.000987
0.379000,0.341588,0.001040
0.380000,0.343008,0.001101
0.381000,0.344432,0.001158
0.382000,0.345861,0.001184
0.383000,0.347294,0.001224
0.384000,0.348728,0.001266
0.385000,0.350161,0.001297
0.386000,0.351596,0.001309
0.387000,0.353032,0.001316
0.388000,0.354466,0.001320
0.389000,0.355897,0.001339
0.390000,0.357325,0.001364
0.391000,0.358750,0.001400
0.392000,0.360172,0.001414
0.393000,0.361591,0.001425
0.394000,0.363005,0.001419
0.395000,0.364413,0.001422
0.396000,0.365814,0.001443
0.397000,0.367208,0.001468
0.398000,0.368592,0.001503
0.399000,0.369968,0.001541
0.400000,0.371334,0.001561
0.401000,0.372693,0.001577
0.402000,0.374046,0.001610
0.403000,0.375396,0.001642
0.403000,0.323810,0.000345
0.404000,0.324969,0.000362
0.405000,0.326118,0.000383
0.406000,0.327249,0.000398
0.407000,0.328364,0.000406
0.408000,0.329465,0.000399
0.409000,0.330556,0.000417
0.410000,0.331639,0.000476
0.411000,0.332719,0.000530
0.412000,0.333793,0.000565
0.413000,0.334858,0.000585
0.414000,0.335914,0.000598
0.415000,0.336962,0.000604
0.416000,0.338000,0.000614
0.417000,0.339028,0.000597
0.418000,0.340050,0.000573
0.419000,0.341070,0.000535
0.420000,0.342086,0.000504
0.421000,0.343099,0.000499
0.422000,0.344108,0.000505
0.423000,0.345115,0.000495
0.424000,0.346121,0.000492
0.425000,0.347127,0.000481
0.426000,0.348132,0.000466
0.427000,0.349131,0.000443
0.428000,0.350120,0.000428
0.429000,0.351102,0.000430
0.429000,0.294783,0.001162
0.430000,0.295684,0.001163
0.431000,0.296585,0.001159
0.432000,0.297485,0.001152
0.433000,0.298386,0.001150
0.434000,0.299291,0.001161
0.435000,0.300195,0.001146
0.436000,0.301099,0.001152
0.437000,0.302005,0.001173
0.438000,0.302912,0.001204
0.439000,0.303817,0.001224
0.440000,0.304720,0.001213
0.441000,0.305625,0.001185
0.442000,0.306532,0.001170
0.443000,0.307438,0.001173
0.444000,0.308342,0.001212
0.445000,0.309241,0.001249
0.446000,0.310137,0.001256
0.447000,0.311032,0.001254
0.448000,0.311925,0.001257
0.449000,0.312820,0.001256
0.450000,0.313718,0.001259
0.451000,0.314614,0.001242
0.452000,0.315503,0.001248
0.453000,0.316383,0.001252
0.453000,0.300020,0.003090
0.454000,0.300844,0.003073
0.455000,0.301660,0.003045
0.456000,0.302469,0.003029
0.457000,0.303269,0.002997
0.458000,0.304060,0.003001
0.459000,0.304842,0.003017
0.460000,0.305612,0.003050
0.461000,0.306370,0.003078
0.462000,0.307120,0.003124
0.463000,0.307869,0.003158
0.464000,0.308623,0.003201
0.465000,0.309385,0.003210
0.466000,0.310153,0.003218
0.467000,0.310926,0.003212
0.468000,0.311700,0.003197
0.469000,0.312477,0.003205
0.470000,0.313261,0.003220
0.471000,0.314052,0.003218
0.472000,0.314849,0.003212
0.473000,0.315650,0.003184
0.474000,0.316455,0.003155
0.475000,0.317264,0.003135
0.476000,0.318075,0.003118
0.477000,0.318891,0.003105
0.478000,0.319713,0.003087
0.479000,0.320541,0.003070
0.479000,0.282363,0.000201
0.480000,0.283137,0.000173
0.481000,0.283920,0.000147
0.482000,0.284710,0.000106
0.483000,0.285505,0.000092
0.484000,0.286310,0.000091
0.485000,0.287129,0.000082
0.486000,0.287960,0.000091
0.487000,0.288803,0.000097
0.488000,0.289658,0.000125
0.489000,0.290522,0.000132
0.490000,0.291394,0.000143
0.491000,0.292277,0.000152
0.492000,0.293165,0.000151
0.493000,0.294062,0.000137
0.494000,0.294966,0.000141
0.495000,0.295874,0.000156
0.496000,0.296784,0.000169
0.497000,0.297695,0.000186
0.498000,0.298604,0.000212
0.499000,0.299510,0.000255
0.500000,0.300413,0.000260
0.501000,0.301313,0.000273
0.502000,0.302209,0.000288
0.503000,0.303099,0.000280
0.504000,0.303982,0.000261
0.504000,0.310580,0.004397
0.505000,0.311355,0.004394
0.506000,0.312129,0.004385
0.507000,0.312899,0.004384
0.508000,0.313658,0.004368
0.509000,0.314410,0.004344
0.510000,0.315161,0.004301
