t,pos_err_mm,yaw_err_deg
0.026000,1.080116,0.000592
0.027000,1.115135,0.000594
0.028000,1.150154,0.000597
0.029000,1.185173,0.000599
0.030000,1.220192,0.000602
0.031000,1.255210,0.000604
0.032000,1.290229,0.000607
0.033000,1.325248,0.000609
0.034000,1.360267,0.000611
0.035000,1.395286,0.000614
0.036000,1.430305,0.000616
0.037000,1.465324,0.000619
0.038000,1.500343,0.000621
0.039000,1.535361,0.000623
0.040000,1.570380,0.000626
0.041000,1.605399,0.000628
0.042000,1.640418,0.000631
0.043000,1.675437,0.000633
0.044000,1.710456,0.000636
0.045000,1.745474,0.000638
0.046000,1.780493,0.000641
0.047000,1.815512,0.000643
0.048000,1.850531,0.000646
0.049000,1.885549,0.000648
0.050000,1.920568,0.000650
0.051000,1.955587,0.000653
0.052000,1.990606,0.000656
0.053000,2.025625,0.000658
0.054000,2.060643,0.000661
0.055000,2.095662,0.000663
0.055000,5.802100,0.000803
0.056000,5.901672,0.000806
0.057000,6.001243,0.000809
0.058000,6.100815,0.000812
0.059000,6.200386,0.000815
0.060000,6.299957,0.000817
0.061000,6.399529,0.000820
0.062000,6.499100,0.000823
0.063000,6.598672,0.000826
0.064000,6.698243,0.000829
0.065000,6.797815,0.000831
0.066000,6.897386,0.000834
0.067000,6.996958,0.000837
0.068000,7.096530,0.000840
0.069000,7.196101,0.000843
0.070000,7.295673,0.000845
0.071000,7.395245,0.000848
0.072000,7.494817,0.000851
0.073000,7.594388,0.000854
0.074000,7.693960,0.000857
0.075000,7.793532,0.000860
0.076000,7.893104,0.000863
0.077000,7.992676,0.000866
0.078000,8.092248,0.000868
0.079000,8.191820,0.000871
0.080000,8.291392,0.000874
0.081000,8.390964,0.000877
0.082000,8.490536,0.000879
0.083000,8.590108,0.000882
0.083000,6.004854,0.001385
0.084000,6.073461,0.001390
0.085000,6.142069,0.001394
0.086000,6.210676,0.001399
0.087000,6.279284,0.001404
0.088000,6.347891,0.001408
0.089000,6.416499,0.001413
0.090000,6.485107,0.001418
0.091000,6.553714,0.001423
0.092000,6.622322,0.001427
0.093000,6.690929,0.001433
0.094000,6.759537,0.001438
0.095000,6.828145,0.001443
0.096000,6.896753,0.001448
