t,pos_err_mm,yaw_err_deg
0.026000,0.007465,0.000457
0.027000,0.007668,0.000452
0.028000,0.007870,0.000448
0.029000,0.008077,0.000485
0.030000,0.008289,0.000531
0.031000,0.008508,0.000588
0.032000,0.008733,0.000621
0.033000,0.008961,0.000649
0.034000,0.009189,0.000675
0.035000,0.009418,0.000700
0.036000,0.009651,0.000718
0.037000,0.009891,0.000736
0.038000,0.010139,0.000735
0.039000,0.010396,0.000725
0.040000,0.010665,0.000716
0.041000,0.010948,0.000707
0.042000,0.011245,0.000700
0.043000,0.011548,0.000681
0.044000,0.011853,0.000701
0.045000,0.012158,0.000713
0.046000,0.012461,0.000751
0.047000,0.012762,0.000778
0.048000,0.013061,0.000813
0.049000,0.013355,0.000847
0.050000,0.013644,0.000880
0.051000,0.013928,0.000907
0.052000,0.014208,0.000941
0.053000,0.014485,0.001003
0.054000,0.014763,0.001080
0.055000,0.015042,0.001144
0.055000,0.457000,0.001312
0.056000,0.464903,0.001358
0.057000,0.472798,0.001414
0.058000,0.480686,0.001453
0.059000,0.488568,0.001501
0.060000,0.496446,0.001532
0.061000,0.504318,0.001563
0.062000,0.512187,0.001598
0.063000,0.520056,0.001632
0.064000,0.527930,0.001638
0.065000,0.535810,0.001654
0.066000,0.543696,0.001674
0.067000,0.551585,0.001680
0.068000,0.559477,0.001681
0.069000,0.567371,0.001674
0.070000,0.575266,0.001669
0.071000,0.583163,0.001670
0.072000,0.591062,0.001666
0.073000,0.598964,0.001633
0.074000,0.606869,0.001590
0.075000,0.614776,0.001552
0.076000,0.622691,0.001524
0.077000,0.630616,0.001501
0.078000,0.638551,0.001474
0.079000,0.646493,0.001464
0.079000,0.416384,0.001119
0.080000,0.421538,0.001118
0.081000,0.426699,0.001155
0.082000,0.431866,0.001182
0.083000,0.437035,0.001198
0.084000,0.442208,0.001207
0.085000,0.447384,0.001205
0.086000,0.452564,0.001200
0.087000,0.457750,0.001219
0.088000,0.462941,0.001218
0.089000,0.468138,0.001206
0.090000,0.473340,0.001174
0.091000,0.478542,0.001146
0.092000,0.483739,0.001116
0.093000,0.488932,0.001099
0.094000,0.494125,0.001075
0.095000,0.499319,0.001044
0.096000,0.504517,0.001032
0.097000,0.509720,0.001036
0.098000,0.514931,0.001056
0.099000,0.520148,0.001055
0.100000,0.525366,0.001072
0.101000,0.530583,0.001103
0.102000,0.535802,0.001136
0.103000,0.541022,0.001167
0.104000,0.546243,0.001222
0.104000,0.540989,0.001601
0.105000,0.546129,0.001664
0.106000,0.551265,0.001711
0.107000,0.556400,0.001718
0.108000,0.561540,0.001720
0.109000,0.566684,0.001757
0.110000,0.571825,0.001778
0.111000,0.576961,0.001800
0.112000,0.582095,0.001809
0.113000,0.587229,0.001806
0.114000,0.592359,0.001811
0.115000,0.597482,0.001795
0.116000,0.602595,0.001770
0.117000,0.607696,0.001717
0.118000,0.612786,0.001674
0.119000,0.617868,0.001631
0.120000,0.622942,0.001601
0.121000,0.628009,0.001581
0.122000,0.633070,0.001574
0.123000,0.638128,0.001560
0.124000,0.643186,0.001527
0.125000,0.648245,0.001488
0.126000,0.653308,0.001436
0.127000,0.658375,0.001383
0.128000,0.663444,0.001322
0.129000,0.668512,0.001256
0.129000,0.202055,0.000681
0.130000,0.203548,0.000617
0.131000,0.205044,0.000548
0.132000,0.206544,0.000500
0.133000,0.208044,0.000468
0.134000,0.209541,0.000425
0.135000,0.211032,0.000379
0.136000,0.212517,0.000317
0.137000,0.214000,0.000247
0.138000,0.215485,0.000169
0.139000,0.216975,0.000100
0.140000,0.218472,0.000059
0.141000,0.219978,0.000015
0.142000,0.221492,0.000020
0.143000,0.223014,0.000042
0.144000,0.224544,0.000055
0.145000,0.226085,0.000075
0.146000,0.227630,0.000092
0.147000,0.229178,0.000098
0.148000,0.230723,0.000110
0.149000,0.232261,0.000117
0.150000,0.233793,0.000119
0.151000,0.235319,0.000124
0.152000,0.236841,0.000116
0.153000,0.238362,0.000112
0.154000,0.239887,0.000109
0.155000,0.241415,0.000097
0.155000,0.191014,0.000114
0.156000,0.192201,0.000093
0.157000,0.193390,0.000101
0.158000,0.194583,0.000104
0.159000,0.195782,0.000119
0.160000,0.196994,0.000134
0.161000,0.198218,0.000160
0.162000,0.199452,0.000175
0.163000,0.200695,0.000197
0.164000,0.201948,0.000208
0.165000,0.203207,0.000213
0.166000,0.204473,0.000198
0.167000,0.205740,0.000175
0.168000,0.207009,0.000162
0.169000,0.208279,0.000136
0.170000,0.209546,0.000097
0.171000,0.210812,0.000072
0.172000,0.212075,0.000037
0.173000,0.213333,0.000011
0.174000,0.214585,0.000025
0.175000,0.215836,0.000068
0.176000,0.217083,0.000114
0.177000,0.218330,0.000158
0.178000,0.219581,0.000201
0.179000,0.220839,0.000221
0.179000,0.116809,0.000312
0.180000,0.117506,0.000329
0.181000,0.118204,0.000350
0.182000,0.118906,0.000365
0.183000,0.119609,0.000363
0.184000,0.120308,0.000395
0.185000,0.121002,0.000442
0.186000,0.121688,0.000485
0.187000,0.122364,0.000543
0.188000,0.123029,0.000580
0.189000,0.123682,0.000626
0.190000,0.124327,0.000679
0.191000,0.124967,0.000729
0.192000,0.125605,0.000777
0.193000,0.126241,0.000827
0.194000,0.126877,0.000880
0.195000,0.127513,0.000924
0.196000,0.128149,0.000958
0.197000,0.128787,0.000993
0.198000,0.129429,0.001011
0.199000,0.130073,0.001008
0.200000,0.130719,0.001024
0.201000,0.131361,0.001034
0.202000,0.131999,0.001040
0.203000,0.132639,0.001052
0.204000,0.133286,0.001079
0.204000,0.116381,0.001264
0.205000,0.116951,0.001281
0.206000,0.117524,0.001320
0.207000,0.118102,0.001349
0.208000,0.118687,0.001387
0.209000,0.119278,0.001450
0.210000,0.119876,0.001486
0.211000,0.120481,0.001553
0.212000,0.121091,0.001599
0.213000,0.121704,0.001632
0.214000,0.122320,0.001654
0.215000,0.122935,0.001704
0.216000,0.123547,0.001760
0.217000,0.124158,0.001811
0.218000,0.124769,0.001852
0.219000,0.125385,0.001848
0.220000,0.126008,0.001878
0.221000,0.126640,0.001904
0.222000,0.127282,0.001932
0.223000,0.127936,0.001962
0.224000,0.128601,0.001977
0.225000,0.129274,0.001957
0.226000,0.129956,0.001928
0.227000,0.130647,0.001875
0.228000,0.131346,0.001847
0.229000,0.132054,0.001814
0.229000,0.341743,0.001234
0.230000,0.343217,0.001199
0.231000,0.344693,0.001178
0.232000,0.346172,0.001161
0.233000,0.347657,0.001137
0.234000,0.349145,0.001114
0.235000,0.350635,0.001082
0.236000,0.352125,0.001083
0.237000,0.353615,0.001055
0.238000,0.355103,0.001025
0.239000,0.356590,0.000991
0.240000,0.358078,0.000935
0.241000,0.359571,0.000887
0.242000,0.361068,0.000826
0.243000,0.362569,0.000788
0.244000,0.364079,0.000777
0.245000,0.365596,0.000760
0.246000,0.367119,0.000738
0.247000,0.368643,0.000734
0.248000,0.370169,0.000752
0.249000,0.371696,0.000760
0.250000,0.373223,0.000764
0.251000,0.374752,0.000772
0.252000,0.376282,0.000782
0.253000,0.377810,0.000762
0.254000,0.379333,0.000737
0.255000,0.380849,0.000729
0.255000,0.618545,0.001796
0.256000,0.621328,0.001810
0.257000,0.624103,0.001824
0.258000,0.626872,0.001834
0.259000,0.629638,0.001838
0.260000,0.632401,0.001854
0.261000,0.635160,0.001856
0.262000,0.637918,0.001827
0.263000,0.640674,0.001802
0.264000,0.643428,0.001780
0.265000,0.646179,0.001759
0.266000,0.648930,0.001726
0.267000,0.651683,0.001708
0.268000,0.654434,0.001694
0.269000,0.657182,0.001689
0.270000,0.659926,0.001696
0.271000,0.662668,0.001695
0.272000,0.665406,0.001694
0.273000,0.668141,0.001675
0.274000,0.670871,0.001651
0.275000,0.673595,0.001645
0.276000,0.676312,0.001659
0.277000,0.679025,0.001670
0.278000,0.681739,0.001672
0.279000,0.684456,0.001681
0.279000,0.414765,0.000480
0.280000,0.416335,0.000479
0.281000,0.417910,0.000486
0.282000,0.419488,0.000502
0.283000,0.421074,0.000508
0.284000,0.422667,0.000510
0.285000,0.424271,0.000511
0.286000,0.425885,0.000487
0.287000,0.427508,0.000471
0.288000,0.429141,0.000470
0.289000,0.430786,0.000474
0.290000,0.432443,0.000490
0.291000,0.434108,0.000502
0.292000,0.435783,0.000509
0.293000,0.437468,0.000515
0.294000,0.439160,0.000515
0.295000,0.440856,0.000497
0.296000,0.442561,0.000497
0.297000,0.444274,0.000515
0.298000,0.445993,0.000516
0.299000,0.447719,0.000521
0.300000,0.449450,0.000524
0.301000,0.451189,0.000517
0.302000,0.452940,0.000508
0.303000,0.454702,0.000477
0.304000,0.456476,0.000465
0.304000,0.385905,0.000317
0.305000,0.387649,0.000329
0.306000,0.389409,0.000339
0.307000,0.391186,0.000327
0.308000,0.392977,0.000318
0.309000,0.394780,0.000320
0.310000,0.396591,0.000324
0.311000,0.398407,0.000325
0.312000,0.400226,0.000333
0.313000,0.402046,0.000313
0.314000,0.403862,0.000316
0.315000,0.405673,0.000332
0.316000,0.407476,0.000350
0.317000,0.409269,0.000382
0.318000,0.411046,0.000404
0.319000,0.412811,0.000427
0.320000,0.414564,0.000464
0.321000,0.416306,0.000487
0.322000,0.418038,0.000506
0.323000,0.419761,0.000527
0.324000,0.421473,0.000543
0.325000,0.423171,0.000553
0.326000,0.424853,0.000575
0.327000,0.426525,0.000590
0.328000,0.428183,0.000611
0.329000,0.429829,0.000625
0.330000,0.431464,0.000643
0.330000,0.318856,0.000500
0.331000,0.319974,0.000527
0.332000,0.321086,0.000536
0.333000,0.322195,0.000529
0.334000,0.323303,0.000548
0.335000,0.324411,0.000572
0.336000,0.325521,0.000594
0.337000,0.326636,0.000598
0.338000,0.327760,0.000613
0.339000,0.328891,0.000623
0.340000,0.330030,0.000643
0.341000,0.331172,0.000639
0.342000,0.332315,0.000659
0.343000,0.333458,0.000673
0.344000,0.334603,0.000687
0.345000,0.335747,0.000685
0.346000,0.336891,0.000703
0.347000,0.338035,0.000720
0.348000,0.339180,0.000732
0.349000,0.340326,0.000762
0.350000,0.341473,0.000780
0.351000,0.342617,0.000785
0.352000,0.343757,0.000752
0.353000,0.344896,0.000726
0.354000,0.346037,0.000698
0.355000,0.347183,0.000684
0.355000,0.370831,0.000142
0.356000,0.371957,0.000161
0.357000,0.373090,0.000162
0.358000,0.374228,0.000150
0.359000,0.375376,0.000144
0.360000,0.376534,0.000154
0.361000,0.377699,0.000175
0.362000,0.378868,0.000229
0.363000,0.380041,0.000298
0.364000,0.381220,0.000337
0.365000,0.382406,0.000372
0.366000,0.383602,0.000391
0.367000,0.384810,0.000377
0.368000,0.386030,0.000357
0.369000,0.387263,0.000346
0.370000,0.388510,0.000308
0.371000,0.389773,0.000269
0.372000,0.391053,0.000251
0.373000,0.392354,0.000265
0.374000,0.393675,0.000292
0.375000,0.395011,0.000325
0.376000,0.396360,0.000364
0.377000,0.397718,0.000405
0.378000,0.399081,0.000449
0.379000,0.400446,0.000504
0.379000,0.342117,0.000923
0.380000,0.343549,0.000986
0.381000,0.344985,0.001046
0.382000,0.346426,0.001074
0.383000,0.347871,0.001116
0.384000,0.349318,0.001160
0.385000,0.350763,0.001194
0.386000,0.352210,0.001209
0.387000,0.353658,0.001218
0.388000,0.355105,0.001225
0.389000,0.356548,0.001246
0.390000,0.357989,0.001274
0.391000,0.359427,0.001313
0.392000,0.360861,0.001330
0.393000,0.362293,0.001343
0.394000,0.363720,0.001340
0.395000,0.365141,0.001345
0.396000,0.366555,0.001369
0.397000,0.367961,0.001397
0.398000,0.369359,0.001435
0.399000,0.370747,0.001475
0.400000,0.372126,0.001497
0.401000,0.373499,0.001516
0.402000,0.374865,0.001552
0.403000,0.376227,0.001586
0.404000,0.377584,0.001609
0.404000,0.326407,0.000315
0.405000,0.327579,0.000338
0.406000,0.328734,0.000356
0.407000,0.329872,0.000367
0.408000,0.330997,0.000362
0.409000,0.332111,0.000382
0.410000,0.333218,0.000444
0.411000,0.334322,0.000500
0.412000,0.335419,0.000538
0.413000,0.336507,0.000560
0.414000,0.337588,0.000576
0.415000,0.338660,0.000585
0.416000,0.339722,0.000597
0.417000,0.340773,0.000583
0.418000,0.341819,0.000561
0.419000,0.342862,0.000526
0.420000,0.343903,0.000497
0.421000,0.344940,0.000495
0.422000,0.345973,0.000504
0.423000,0.347003,0.000497
0.424000,0.348034,0.000496
0.425000,0.349064,0.000488
0.426000,0.350092,0.000476
0.427000,0.351115,0.000456
0.428000,0.352127,0.000443
0.429000,0.353133,0.000449
0.430000,0.354137,0.000451
0.431000,0.355138,0.000449
0.431000,0.297761,0.001185
0.432000,0.298675,0.001181
0.433000,0.299591,0.001182
0.434000,0.300510,0.001197
0.435000,0.301428,0.001185
0.436000,0.302346,0.001195
0.437000,0.303266,0.001219
0.438000,0.304187,0.001253
0.439000,0.305106,0.001277
0.440000,0.306023,0.001269
0.441000,0.306942,0.001244
0.442000,0.307863,0.001232
0.443000,0.308784,0.001238
0.444000,0.309702,0.001280
0.445000,0.310615,0.001321
0.446000,0.311526,0.001330
0.447000,0.312435,0.001332
0.448000,0.313342,0.001337
0.449000,0.314252,0.001339
0.450000,0.315164,0.001345
0.451000,0.316074,0.001331
0.452000,0.316978,0.001340
0.453000,0.317872,0.001347
0.454000,0.318758,0.001328
0.455000,0.319636,0.001300
0.455000,0.302195,0.003140
0.456000,0.303009,0.003127
